"","id","trial","x","y","z","zmax","kernel","scenario","horizon","round","env","delta_x","chosen","overall","Horizon","tau","lambda","kError","beta","Model"
"1",1,1,3,9,8.68730122883821,8.68730122883821,"Rough","Avg. Reward Condition",20,"1",5,NA,103,1,"Short",0.00673806544947616,0.434070363300547,NA,0.520956030570047,"GP"
"2",1,2,8,4,50.6311411543037,50.6311411543037,"Rough","Avg. Reward Condition",20,"1",5,2,53,1,"Short",0.00673806544947616,0.434070363300547,NA,0.520956030570047,"GP"
"3",1,3,8,0,96.125082157983,96.125082157983,"Rough","Avg. Reward Condition",20,"1",5,2,9,1,"Short",0.00673806544947616,0.434070363300547,NA,0.520956030570047,"GP"
"4",1,4,10,6,82.4387014347711,96.125082157983,"Rough","Avg. Reward Condition",20,"1",5,3,77,1,"Short",0.00673806544947616,0.434070363300547,NA,0.520956030570047,"GP"
"5",1,5,9,0,92.5470885084956,96.125082157983,"Rough","Avg. Reward Condition",20,"1",5,4,10,1,"Short",0.00673806544947616,0.434070363300547,NA,0.520956030570047,"GP"
"6",1,6,9,1,68.5223309875422,96.125082157983,"Rough","Avg. Reward Condition",20,"1",5,7,21,1,"Short",0.00673806544947616,0.434070363300547,NA,0.520956030570047,"GP"
"7",1,7,10,0,60.7914007542761,96.125082157983,"Rough","Avg. Reward Condition",20,"1",5,1,11,1,"Short",0.00673806544947616,0.434070363300547,NA,0.520956030570047,"GP"
"8",1,8,8,1,86.7518912658619,96.125082157983,"Rough","Avg. Reward Condition",20,"1",5,1,20,1,"Short",0.00673806544947616,0.434070363300547,NA,0.520956030570047,"GP"
"9",1,9,7,0,68.4752649344305,96.125082157983,"Rough","Avg. Reward Condition",20,"1",5,1,8,1,"Short",0.00673806544947616,0.434070363300547,NA,0.520956030570047,"GP"
"10",1,10,5,6,48.862030975187,96.125082157983,"Rough","Avg. Reward Condition",20,"1",5,2,72,1,"Short",0.00673806544947616,0.434070363300547,NA,0.520956030570047,"GP"
"11",1,11,7,1,81.9911885215714,96.125082157983,"Rough","Avg. Reward Condition",20,"1",5,2,19,1,"Short",0.00673806544947616,0.434070363300547,NA,0.520956030570047,"GP"
"12",1,12,9,6,62.6880904214702,96.125082157983,"Rough","Avg. Reward Condition",20,"1",5,2,76,1,"Short",0.00673806544947616,0.434070363300547,NA,0.520956030570047,"GP"
"13",1,13,2,10,8.81939176369258,96.125082157983,"Rough","Avg. Reward Condition",20,"1",5,4,113,1,"Short",0.00673806544947616,0.434070363300547,NA,0.520956030570047,"GP"
"14",1,14,7,2,61.2330802415628,96.125082157983,"Rough","Avg. Reward Condition",20,"1",5,6,30,1,"Short",0.00673806544947616,0.434070363300547,NA,0.520956030570047,"GP"
"15",1,15,6,9,54.6126076443518,96.125082157983,"Rough","Avg. Reward Condition",20,"1",5,6,106,1,"Short",0.00673806544947616,0.434070363300547,NA,0.520956030570047,"GP"
